epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_mae, e_rmse
    1,     1,           1.2565,           1.2563,       0.00016467,           25.668,           35.029,             7.05,           8.4204
    1,     2,           1.0879,           1.0878,       6.1371e-05,           24.938,           32.596,            4.025,           5.1424
    1,     3,           1.0728,           1.0727,       0.00010836,           24.875,           32.368,           5.7375,           6.8239
    1,     4,          0.91625,          0.91618,       7.0026e-05,           22.726,           29.914,           5.3125,            5.485
    1,     5,          0.91724,          0.91711,       0.00013312,           22.526,           29.929,            5.675,           7.5692
    1,     6,            0.752,          0.75198,       1.7045e-05,           21.076,           27.101,           1.9688,           2.7129
    1,     7,          0.83785,           0.8378,       5.5157e-05,           21.701,           28.606,           4.1188,           4.8802
    1,     8,          0.92451,           0.9245,         1.14e-05,           23.031,           30.049,             1.85,           2.2105
    1,     9,           0.9887,          0.98858,       0.00011591,            22.81,           31.073,           5.0437,            7.065
    1,    10,           1.0104,           1.0104,       4.6237e-05,           24.066,           31.414,           4.0062,           4.4661
    1,    11,          0.83556,          0.83552,       3.6233e-05,            21.65,           28.567,           2.7313,            3.955
    1,    12,          0.87256,           0.8724,       0.00015925,           22.572,            29.19,           7.3625,           8.2894
    1,    13,          0.86434,          0.86425,       8.7587e-05,            21.98,           29.054,           5.5125,           6.1448
    1,    14,          0.97739,          0.97716,       0.00022521,           22.978,           30.893,              8.6,           9.8432
    1,    15,          0.87625,          0.87611,       0.00014389,           22.377,           29.252,           6.4187,           7.8746
    1,    16,          0.98651,          0.98646,       4.8358e-05,            23.91,            31.04,           3.7438,            4.559
    1,    17,          0.87636,          0.87633,       3.1687e-05,           22.056,           29.256,           3.0563,           3.6922
    1,    18,           1.3761,           1.3759,       0.00017759,           27.524,           36.658,           7.0938,           8.7407
    1,    19,           0.8943,          0.89411,        0.0001957,           21.959,           29.551,           6.4187,           9.1739
    1,    20,          0.92734,           0.9272,       0.00013935,           23.065,           30.093,           7.5563,           7.7472
    1,    21,          0.76323,          0.76312,       0.00011319,           20.994,           27.301,             6.15,           6.9824
    1,    22,           1.0491,           1.0491,       5.5639e-05,           23.593,            32.01,           3.8812,           4.8946
    1,    23,          0.97187,          0.97185,       2.0824e-05,           23.982,           30.809,            2.362,           2.9974
    1,    24,           1.0883,           1.0881,       0.00017163,           24.099,             32.6,           8.0348,           8.5962
    1,    25,           1.0616,           1.0615,       3.5333e-05,           25.013,           32.199,           3.2362,           3.8921
    1,    26,           1.2432,           1.2431,        0.0001152,           26.752,           34.845,           6.4152,           7.0411
    1,    27,          0.90588,           0.9058,       7.3017e-05,           21.682,           29.744,            5.242,           5.6097
    1,    28,           1.0711,            1.071,       0.00010132,             24.4,           32.343,            5.317,            6.602
    1,    29,          0.90567,          0.90549,       0.00017658,           21.776,           29.739,           6.5732,           8.7212
    1,    30,              1.2,           1.1999,       0.00010091,           26.031,           34.233,           5.4713,           6.5894
    1,    31,          0.94193,          0.94179,       0.00014369,           22.606,           30.329,            5.952,           7.8623
    1,    32,          0.91033,          0.91027,       6.5698e-05,           22.597,           29.817,           4.9949,           5.3254
    1,    33,          0.83628,          0.83621,       6.3201e-05,           20.793,           28.579,            4.385,           5.2152
    1,    34,          0.74374,          0.74365,       8.2579e-05,           20.908,            26.95,           5.2118,            5.963
    1,    35,          0.83474,          0.83471,       3.6157e-05,           21.577,           28.553,           3.6408,           3.9486
    1,    36,          0.94908,           0.9489,        0.0001819,           23.302,           30.443,           7.7376,           8.8478
    1,    37,          0.60948,          0.60928,       0.00020293,            18.36,           24.394,           8.7631,           9.3485
    1,    38,           1.0695,           1.0694,       0.00012031,           23.768,           32.318,           4.9606,           7.1939
    1,    39,          0.80127,          0.80114,       0.00012959,           20.353,           27.973,           6.9582,           7.4694
    1,    40,          0.95816,          0.95809,       7.0529e-05,           22.551,            30.59,           5.0333,           5.5081
    1,    41,          0.81872,          0.81866,       5.8266e-05,           21.649,           28.277,           3.7348,           5.0063
    1,    42,           1.1084,           1.1082,       0.00017417,           24.964,             32.9,            5.883,           8.6577
    1,    43,          0.91396,          0.91391,       5.6538e-05,           22.738,           29.877,           3.5007,            4.938
    1,    44,          0.80711,          0.80705,       6.1699e-05,           20.221,           28.076,           4.5857,           5.1527
    1,    45,           1.0539,           1.0538,        5.866e-05,           23.726,           32.083,           4.2617,            5.028
    1,    46,          0.65812,          0.65796,       0.00015991,           19.369,            25.35,           7.3101,           8.3056
    1,    47,          0.88192,          0.88185,       6.5745e-05,           22.068,           29.348,            4.254,           5.3239
    1,    48,          0.89288,          0.89273,        0.0001466,           23.113,           29.528,           6.9499,           7.9509
    1,    49,          0.97651,          0.97646,       4.3791e-05,           22.856,           30.882,           3.6291,           4.3463
    1,    50,           1.2843,           1.2842,       8.0587e-05,           26.543,           35.416,           4.6676,             5.89
    1,    51,          0.80475,          0.80469,       5.8625e-05,           20.741,           28.035,           4.3031,           5.0251
    1,    52,          0.85646,          0.85636,       9.7475e-05,           20.628,           28.921,            5.822,           6.4756
    1,    53,          0.66257,          0.66253,       3.8434e-05,           19.185,           25.438,           3.3795,           4.0722
    1,    54,          0.74653,          0.74646,       7.7255e-05,           19.885,           27.001,            4.416,            5.767
    1,    55,          0.72016,          0.72009,        7.537e-05,           19.673,            26.52,           4.6189,           5.7026
    1,    56,          0.98022,          0.98008,       0.00014152,           23.073,           30.939,           6.1411,           7.8001
    1,    57,          0.88824,          0.88789,        0.0003518,           22.325,           29.448,           10.413,           12.301
    1,    58,          0.78992,          0.78974,       0.00018212,            20.84,           27.773,           7.0717,           8.8564
    1,    59,          0.79591,           0.7958,       0.00010585,           20.843,           27.879,           5.5917,           6.7475
    1,    60,          0.82768,          0.82737,       0.00030769,           20.674,           28.427,           10.215,           11.518
    1,    61,          0.75702,          0.75685,       0.00016982,           20.278,           27.189,           6.6363,           8.5519
    1,    62,          0.60797,          0.60788,       8.9908e-05,           17.798,           24.366,           5.3206,           6.2221
    1,    63,          0.64393,          0.64377,       0.00016018,            18.39,           25.075,           7.1379,           8.3103
    1,    64,          0.76069,          0.76028,       0.00040857,           19.663,            27.25,           10.307,           13.263
    1,    65,          0.75631,          0.75612,       0.00019306,           19.558,           27.175,           7.8939,           9.1172
    1,    66,          0.81177,          0.81161,       0.00016351,           20.436,           28.155,           6.6136,           8.3925
    1,    67,          0.70448,          0.70424,       0.00024023,           18.579,           26.227,           8.4904,           10.165
    1,    68,          0.84486,          0.84458,       0.00028293,           21.084,           28.721,           8.5907,           11.039
    1,    69,          0.73348,           0.7333,       0.00018246,           19.629,           26.762,           7.4011,           8.8607
    1,    70,           0.9863,          0.98605,       0.00025415,            20.94,           31.033,           7.8985,           10.465
    1,    71,          0.62144,           0.6213,       0.00014029,           17.947,           24.634,           6.0396,           7.7779
    1,    72,          0.96949,          0.96926,       0.00022983,           20.542,           30.768,            8.036,           9.9499
    1,    73,          0.55149,          0.55138,       0.00011135,            16.55,           23.206,           5.2688,           6.9265
    1,    74,          0.70454,          0.70446,       7.9664e-05,           19.598,           26.231,            4.529,           5.8574
    1,    75,          0.67993,          0.67983,       9.4776e-05,           18.336,           25.768,           4.8806,           6.3893
    1,    76,          0.68821,           0.6879,       0.00030508,           17.971,           25.921,           10.164,           11.465
    1,    77,          0.63208,          0.63199,        8.738e-05,           18.812,           24.845,           4.5519,           6.1359
    1,    78,          0.71071,          0.71057,       0.00013782,           18.722,           26.344,           6.1002,           7.7081
    1,    79,          0.70889,          0.70879,       0.00010294,           19.048,           26.311,            5.119,           6.6612
    1,    80,          0.74774,           0.7476,       0.00014625,           19.142,           27.022,           6.0293,           7.9321
    1,    81,          0.71649,          0.71624,       0.00025725,           19.174,           26.449,           8.7564,           10.525
    1,    82,          0.69501,          0.69485,       0.00016146,           19.956,           26.051,            6.347,           8.3354
    1,    83,          0.53854,          0.53845,       8.5645e-05,           17.041,           22.933,           5.2101,             6.07
    1,    84,          0.48256,          0.48239,       0.00016624,           15.889,           21.706,           7.0642,           8.4635
    1,    85,          0.60367,          0.60358,        8.346e-05,           17.946,            24.28,           4.8745,           5.9997
    1,    86,           0.7268,          0.72662,       0.00017539,            18.95,            26.64,           6.7495,           8.6899
    1,    87,          0.54666,          0.54657,       8.9423e-05,           16.145,           23.105,           5.4304,           6.2088
    1,    88,          0.70056,           0.7004,       0.00015278,           18.587,           26.155,           6.7962,            8.108
    1,    89,          0.54675,          0.54656,       0.00018662,           16.045,           23.105,           7.1236,           8.9647
    1,    90,          0.66086,          0.66074,        0.0001173,           17.392,           25.404,           5.7954,           7.1076
    1,    91,          0.69052,          0.69039,        0.0001324,           18.218,           25.967,           5.8023,           7.5522
    1,    92,          0.77344,          0.77325,       0.00019235,           18.897,           27.482,           7.3753,           9.1032
    1,    93,          0.54306,          0.54287,        0.0001939,           16.652,           23.026,           7.4251,            9.138
    1,    94,          0.74426,          0.74413,          0.00013,           19.375,           26.959,           6.1585,           7.4869
    1,    95,          0.66268,          0.66252,       0.00016196,           18.093,           25.438,           6.9256,           8.3529
    1,    96,          0.57335,          0.57315,       0.00020781,            16.53,            23.66,           8.1418,           9.4637
    1,    97,          0.59718,          0.59704,       0.00014491,           17.912,           24.148,           6.1658,           7.8999
    1,    98,          0.72623,          0.72607,       0.00016559,           18.166,            26.63,           6.2452,           8.4473
    1,    99,          0.76006,          0.75989,       0.00017302,           18.724,           27.243,           6.6433,           8.6288
    1,   100,          0.59448,          0.59439,       9.6196e-05,           17.296,           24.094,           5.3152,           6.4339
    1,   101,           0.6733,          0.67283,       0.00047806,           17.963,           25.635,           11.732,            14.35
    1,   102,          0.61005,          0.60986,       0.00019268,           17.548,           24.406,           7.2804,           9.1113
    1,   103,          0.51288,          0.51274,       0.00014226,           16.286,           22.378,           6.1199,           7.8243
    1,   104,          0.86045,          0.86019,       0.00025788,            20.49,           28.985,           8.5778,           10.544
    1,   105,          0.52724,          0.52716,       8.0958e-05,           16.716,           22.691,            5.317,            5.903
    1,   106,          0.62425,          0.62405,       0.00020671,           17.115,           24.688,           7.7752,            9.431
    1,   107,          0.58365,          0.58353,       0.00012166,           16.898,           23.873,            5.554,           7.2392
    1,   108,          0.63183,          0.63172,       0.00010761,           17.555,            24.84,           5.4066,           6.8128
    1,   109,          0.57466,          0.57433,       0.00032693,            17.31,           23.684,           10.537,           11.862
    1,   110,          0.71882,          0.71852,       0.00030124,           18.818,           26.491,           9.1215,           11.391
    1,   111,          0.50485,          0.50472,       0.00013639,           15.953,           22.203,           5.9087,           7.6688
